Time (s),Temperature (°C),Absolute Pressure (kPa),Angle (rad),Angular Velocity (rad/s),Angular Acceleration (rad/s²),Position (m),Velocity (m/s),Acceleration (m/s²)
0.000,41.6,43.0,0.000,,,0.0000,,
0.050,41.7,42.0,0.000,0.000,,0.0000,0.000,
0.100,41.7,42.0,0.000,0.000,0.000,0.0000,0.000,0.000
0.150,41.7,42.5,0.000,0.000,0.000,0.0000,0.000,0.000
0.200,41.7,43.0,0.000,0.000,0.000,0.0000,0.000,0.000
0.250,41.6,43.0,0.000,0.000,0.000,0.0000,0.000,0.000
0.300,41.7,42.5,0.000,0.000,0.000,0.0000,0.000,0.000
0.350,41.7,42.5,0.000,0.000,0.000,0.0000,0.000,0.000
0.400,41.7,42.5,0.000,0.000,0.000,0.0000,0.000,0.000
0.450,41.6,43.0,0.000,0.000,0.000,0.0000,0.000,0.000
0.500,41.7,42.5,0.000,0.000,0.000,0.0000,0.000,0.000
0.550,41.7,42.5,0.000,0.000,0.000,0.0000,0.000,0.000
0.600,41.7,42.5,0.000,0.000,0.000,0.0000,0.000,0.000
0.650,41.6,42.0,0.000,0.000,0.000,0.0000,0.000,0.000
0.700,41.7,42.0,0.000,0.000,0.000,0.0000,0.000,0.000
0.750,41.7,42.0,0.000,0.000,0.000,0.0000,0.000,0.000
0.800,41.6,41.5,0.000,0.000,0.000,0.0000,0.000,0.000
0.850,41.6,42.0,0.000,0.000,0.000,0.0000,0.000,0.000
0.900,41.6,42.5,0.000,0.000,0.000,0.0000,0.000,0.000
0.950,41.6,42.0,0.000,0.000,0.000,0.0000,0.000,0.000
1.000,41.6,42.0,0.000,0.000,0.000,0.0000,0.000,0.000
1.050,41.7,42.0,0.000,0.000,0.000,0.0000,0.000,0.000
1.100,41.7,42.5,0.000,0.000,0.000,0.0000,0.000,0.000
1.150,41.6,43.0,0.000,0.000,0.000,0.0000,0.000,0.000
1.200,41.7,43.0,0.000,0.000,0.000,0.0000,0.000,0.000
1.250,41.7,42.0,0.000,0.000,0.000,0.0000,0.000,0.000
1.300,41.7,43.0,0.000,0.000,0.000,0.0000,0.000,0.000
1.350,41.7,43.0,0.000,0.000,0.000,0.0000,0.000,0.000
1.400,41.6,43.0,0.000,0.000,0.000,0.0000,0.000,0.000
1.450,41.7,42.5,0.000,0.000,0.000,0.0000,0.000,0.000
1.500,41.6,42.5,0.000,0.000,0.000,0.0000,0.000,0.000
1.550,41.7,42.5,0.000,0.000,0.000,0.0000,0.000,0.000
1.600,41.7,42.5,0.000,0.000,0.000,0.0000,0.000,0.000
1.650,41.7,43.0,0.000,0.000,0.000,0.0000,0.000,0.000
1.700,41.6,42.5,0.000,0.000,0.000,0.0000,0.000,0.000
1.750,41.7,42.0,0.000,0.000,0.000,0.0000,0.000,0.000
1.800,41.7,42.5,0.000,0.000,0.000,0.0000,0.000,0.000
1.850,41.6,43.0,0.000,0.000,0.000,0.0000,0.000,0.000
1.900,41.6,42.5,0.000,0.000,0.000,0.0000,0.000,0.000
1.950,41.6,43.0,0.000,0.000,0.000,0.0000,0.000,0.000
2.000,41.6,43.0,0.000,0.000,0.000,0.0000,0.000,0.000
2.050,41.6,43.0,0.000,0.000,0.000,0.0000,0.000,0.000
2.100,41.6,42.5,0.000,0.000,0.000,0.0000,0.000,0.000
2.150,41.6,42.5,0.000,0.000,0.000,0.0000,0.000,0.000
2.200,41.6,43.0,0.000,0.000,0.000,0.0000,0.000,0.000
2.250,41.6,42.5,0.000,0.000,0.000,0.0000,0.000,0.000
2.300,41.7,43.0,0.000,0.000,0.000,0.0000,0.000,0.000
2.350,41.6,42.5,0.000,0.000,0.000,0.0000,0.000,0.000
2.400,41.6,42.5,0.000,0.000,0.000,0.0000,0.000,0.000
2.450,41.6,42.5,0.000,0.000,0.000,0.0000,0.000,0.000
2.500,41.6,43.0,0.000,0.000,0.000,0.0000,0.000,0.000
2.550,41.6,43.0,0.000,0.000,0.000,0.0000,0.000,0.000
