Time (s),Temperature (°C),Absolute Pressure (kPa),Angle (rad),Angular Velocity (rad/s),Angular Acceleration (rad/s²),Position (m),Velocity (m/s),Acceleration (m/s²)
0.000,40.9,39.1,0.000,,,0.0000,,
0.050,40.8,39.1,0.000,0.000,,0.0000,0.000,
0.100,40.8,38.6,0.000,0.000,0.000,0.0000,0.000,0.000
0.150,40.8,38.1,0.000,0.000,0.000,0.0000,0.000,0.000
0.200,40.8,39.1,0.000,0.000,0.000,0.0000,0.000,0.000
0.250,40.9,38.6,0.000,0.000,0.000,0.0000,0.000,0.000
0.300,40.8,38.1,0.000,0.000,0.000,0.0000,0.000,0.000
0.350,40.8,38.1,0.000,0.000,0.000,0.0000,0.000,0.000
0.400,40.8,38.6,0.000,0.000,0.000,0.0000,0.000,0.000
0.450,40.8,38.1,0.000,0.000,0.000,0.0000,0.000,0.000
0.500,40.8,38.1,0.000,0.000,0.000,0.0000,0.000,0.000
0.550,40.8,38.6,0.000,0.000,0.000,0.0000,0.000,0.000
0.600,40.8,39.1,0.000,0.000,0.000,0.0000,0.000,0.000
0.650,40.8,39.1,0.000,0.000,0.000,0.0000,0.000,0.000
0.700,40.8,39.1,0.000,0.000,0.000,0.0000,0.000,0.000
0.750,40.8,38.6,0.000,0.000,0.000,0.0000,0.000,0.000
0.800,40.8,38.6,0.000,0.000,0.000,0.0000,0.000,0.000
0.850,40.7,39.1,0.000,0.000,0.000,0.0000,0.000,0.000
0.900,40.7,39.1,0.000,0.000,0.000,0.0000,0.000,0.000
0.950,40.8,39.1,0.000,0.000,0.000,0.0000,0.000,0.000
1.000,40.8,39.1,0.000,0.000,0.000,0.0000,0.000,0.000
1.050,40.8,38.6,0.000,0.000,0.000,0.0000,0.000,0.000
1.100,40.7,38.6,0.000,0.000,0.000,0.0000,0.000,0.000
1.150,40.8,39.1,0.000,0.000,0.000,0.0000,0.000,0.000
1.200,40.8,38.1,0.000,0.000,0.000,0.0000,0.000,0.000
1.250,40.8,38.1,0.000,0.000,0.000,0.0000,0.000,0.000
1.300,40.8,38.1,0.000,0.000,0.000,0.0000,0.000,0.000
1.350,40.8,38.1,0.000,0.000,0.000,0.0000,0.000,0.000
1.400,40.8,38.6,0.000,0.000,0.000,0.0000,0.000,0.000
1.450,40.7,38.1,0.000,0.000,0.000,0.0000,0.000,0.000
1.500,40.7,38.6,0.000,0.000,0.000,0.0000,0.000,0.000
1.550,40.8,39.1,0.000,0.000,0.000,0.0000,0.000,0.000
1.600,40.8,38.1,0.000,0.000,0.000,0.0000,0.000,0.000
1.650,40.7,38.6,0.000,0.000,0.000,0.0000,0.000,0.000
1.700,40.8,39.1,0.000,0.000,0.000,0.0000,0.000,0.000
1.750,40.8,39.1,0.000,0.000,0.000,0.0000,0.000,0.000
1.800,40.7,38.6,0.000,0.000,0.000,0.0000,0.000,0.000
1.850,40.8,38.1,0.000,0.000,0.000,0.0000,0.000,0.000
1.900,40.8,38.6,0.000,0.000,0.000,0.0000,0.000,0.000
1.950,40.8,38.1,0.000,0.000,0.000,0.0000,0.000,0.000
2.000,40.7,38.6,0.000,0.000,0.000,0.0000,0.000,0.000
2.050,40.7,39.1,0.000,0.000,0.000,0.0000,0.000,0.000
2.100,40.8,38.1,0.000,0.000,0.000,0.0000,0.000,0.000
2.150,40.8,38.6,0.000,0.000,0.000,0.0000,0.000,0.000
2.200,40.7,38.6,0.000,0.000,0.000,0.0000,0.000,0.000
2.250,40.8,38.6,0.000,0.000,0.000,0.0000,0.000,0.000
2.300,40.7,39.1,0.000,0.000,0.000,0.0000,0.000,0.000
2.350,40.8,39.1,0.000,0.000,0.000,0.0000,0.000,0.000
2.400,40.8,38.6,0.000,0.000,0.000,0.0000,0.000,0.000
2.450,40.8,38.1,0.000,0.000,0.000,0.0000,0.000,0.000
2.500,40.8,38.1,0.000,0.000,0.000,0.0000,0.000,0.000
2.550,40.7,38.6,0.000,0.000,0.000,0.0000,0.000,0.000
2.600,40.7,39.1,0.000,0.000,0.000,0.0000,0.000,0.000
2.650,40.8,38.1,0.000,0.000,0.000,0.0000,0.000,0.000
2.700,40.8,39.1,0.000,0.000,0.000,0.0000,0.000,0.000
2.750,40.7,38.1,0.000,0.000,0.000,0.0000,0.000,0.000
2.800,40.7,38.6,0.000,0.000,0.000,0.0000,0.000,0.000
2.850,40.7,38.1,0.000,0.000,0.000,0.0000,0.000,0.000
2.900,40.8,38.6,0.000,0.000,0.000,0.0000,0.000,0.000
2.950,40.8,38.6,0.000,0.000,0.000,0.0000,0.000,0.000
3.000,40.8,38.6,0.000,0.000,0.000,0.0000,0.000,0.000
3.050,40.8,38.6,0.000,0.000,0.000,0.0000,0.000,0.000
3.100,40.8,38.6,0.000,0.000,0.000,0.0000,0.000,0.000
3.150,40.8,39.1,0.000,0.000,0.000,0.0000,0.000,0.000
3.200,40.8,39.1,0.000,0.000,0.000,0.0000,0.000,0.000
3.250,40.7,38.6,0.000,0.000,0.000,0.0000,0.000,0.000
3.300,40.7,38.6,0.000,0.000,0.000,0.0000,0.000,0.000
3.350,40.8,38.6,0.000,0.000,0.000,0.0000,0.000,0.000
3.400,40.8,38.1,0.000,0.000,0.000,0.0000,0.000,0.000
3.450,40.7,38.6,0.000,0.000,0.000,0.0000,0.000,0.000
3.500,40.7,38.6,0.000,0.000,0.000,0.0000,0.000,0.000
3.550,40.8,38.6,0.000,0.000,0.000,0.0000,0.000,0.000
3.600,40.8,38.1,0.000,0.000,0.000,0.0000,0.000,0.000
3.650,40.7,38.6,0.000,0.000,0.000,0.0000,0.000,0.000
3.700,40.8,38.1,0.000,0.000,0.000,0.0000,0.000,0.000
3.750,40.8,38.6,0.000,0.000,0.000,0.0000,0.000,0.000
3.800,40.7,38.6,0.000,0.000,0.000,0.0000,0.000,0.000
3.850,40.7,38.6,0.000,0.000,0.000,0.0000,0.000,0.000
3.900,40.7,38.1,0.000,0.000,0.000,0.0000,0.000,0.000
3.950,40.7,38.6,0.000,0.000,0.000,0.0000,0.000,0.000
4.000,40.8,38.6,0.000,0.000,0.000,0.0000,0.000,0.000
4.050,40.7,38.1,0.000,0.000,0.000,0.0000,0.000,0.000
4.100,40.7,38.6,0.000,0.000,0.000,0.0000,0.000,0.000
4.150,40.8,38.1,0.000,0.000,0.000,0.0000,0.000,0.000
4.200,40.8,39.1,0.000,0.000,0.000,0.0000,0.000,0.000
4.250,40.7,39.1,0.000,0.000,0.000,0.0000,0.000,0.000
4.300,40.7,38.1,0.000,0.000,0.000,0.0000,0.000,0.000
4.350,40.7,39.1,0.000,0.000,0.000,0.0000,0.000,0.000
4.400,40.8,38.1,0.000,0.000,0.000,0.0000,0.000,0.000
4.450,40.7,38.1,0.000,0.000,0.000,0.0000,0.000,0.000
4.500,40.7,38.1,0.000,0.000,-1.745,0.0000,0.000,-0.042
4.550,40.7,39.6,0.000,-0.175,-3.491,0.0000,-0.004,-0.083
4.600,40.7,60.5,-0.017,-0.349,-3.491,-4.1667E-4,-0.008,-0.083
4.650,40.7,88.4,-0.035,-0.524,-3.491,-8.3333E-4,-0.013,-0.083
4.700,40.8,118.2,-0.070,-0.698,-3.491,-0.0017,-0.017,-0.083
4.750,40.8,178.2,-0.105,-0.873,1.745,-0.0025,-0.021,0.042
4.800,40.7,231.0,-0.157,-0.524,8.727,-0.0037,-0.012,0.208
4.850,40.7,218.8,-0.157,0.000,3.491,-0.0037,0.000,0.083
4.900,40.7,221.7,-0.157,-0.175,-3.491,-0.0037,-0.004,-0.083
4.950,40.7,255.4,-0.175,-0.349,-1.745,-0.0042,-0.008,-0.042
5.000,40.8,272.9,-0.192,-0.349,1.745,-0.0046,-0.008,0.042
5.050,40.7,272.5,-0.209,-0.175,3.491,-0.0050,-0.004,0.083
5.100,40.8,269.5,-0.209,0.000,1.745,-0.0050,0.000,0.042
5.150,40.7,267.6,-0.209,0.000,0.000,-0.0050,0.000,0.000
5.200,40.7,265.6,-0.209,0.000,0.000,-0.0050,0.000,0.000
5.250,40.7,266.6,-0.209,0.000,0.000,-0.0050,0.000,0.000
5.300,40.7,267.1,-0.209,0.000,0.000,-0.0050,0.000,0.000
5.350,40.7,267.6,-0.209,0.000,0.000,-0.0050,0.000,0.000
5.400,40.7,267.1,-0.209,0.000,0.000,-0.0050,0.000,0.000
5.450,40.7,266.1,-0.209,0.000,0.000,-0.0050,0.000,0.000
5.500,40.7,266.6,-0.209,0.000,0.000,-0.0050,0.000,0.000
5.550,40.7,266.6,-0.209,0.000,0.000,-0.0050,0.000,0.000
5.600,40.8,266.6,-0.209,0.000,0.000,-0.0050,0.000,0.000
5.650,40.7,267.1,-0.209,0.000,0.000,-0.0050,0.000,0.000
5.700,40.7,266.6,-0.209,0.000,0.000,-0.0050,0.000,0.000
5.750,40.7,267.1,-0.209,0.000,0.000,-0.0050,0.000,0.000
